Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,"Connecticut 1 seed, CHAMPS",BE,40,37-3,128.0,91.3,0.9799,56.9,44.4,14.5,16.0,36.7,26.7,31.9,31.1,59.1,43.2,35.8,31.2,40.2,32.9,64.6,11.2
2,"Houston  1 seed, Sweet Sixteen",B12,37,32-5,119.6,86.5,0.9766,50.3,44.0,13.8,24.4,36.8,31.2,30.8,39.4,49.2,43.1,34.8,30.1,36.8,40.1,63.4,10.0
3,"Purdue  1 seed, Finals",B10,39,34-5,126.0,94.5,0.9649,55.8,47.5,16.4,13.7,37.7,24.3,41.3,22.0,53.3,47.7,40.4,31.5,34.7,36.9,67.1,10.6
4,"Auburn  4 seed, R64",SEC,35,27-8,121.0,93.1,0.9534,54.2,43.7,15.1,18.1,32.9,30.2,38.3,41.5,55.1,42.9,35.2,30.2,37.5,33.4,70.0,5.2
5,"Iowa St.  2 seed, Sweet Sixteen",B12,37,29-8,113.6,87.7,0.9517,52.0,47.4,15.4,25.3,31.1,29.4,35.4,34.8,51.2,47.4,35.8,31.5,31.7,45.2,67.4,6.3
6,"Arizona  2 seed, Sweet Sixteen",P12,36,27-9,120.5,93.3,0.9501,54.5,48.4,16.0,18.0,35.6,23.3,36.4,25.9,54.4,47.7,36.6,32.9,33.4,37.9,72.3,4.9
7,"Tennessee  2 seed, Elite Eight",SEC,36,27-9,115.9,90.4,0.9455,51.1,45.3,14.5,18.5,32.2,28.2,33.7,35.7,50.8,44.3,34.4,31.2,41.2,41.1,69.2,5.6
8,"Duke  4 seed, Elite Eight",ACC,36,27-9,121.3,95.5,0.9399,54.6,48.6,14.4,16.9,32.0,25.9,34.3,28.1,53.5,49.0,37.7,31.8,37.5,34.7,66.5,3.5
9,"North Carolina  1 seed, Sweet Sixteen",ACC,37,29-8,119.2,94.3,0.9369,51.5,46.7,14.1,14.8,33.0,23.7,36.2,28.2,50.2,46.0,35.9,32.0,36.1,35.8,70.5,7.0
10,"Creighton  3 seed, Sweet Sixteen",BE,35,25-10,121.7,97.1,0.9309,57.3,46.3,15.4,11.0,26.1,24.9,24.7,16.0,59.2,45.5,36.8,32.3,48.5,27.9,66.7,4.4
11,"Marquette  2 seed, Sweet Sixteen",BE,37,27-10,118.6,94.9,0.9289,55.0,49.8,14.3,21.1,25.7,30.8,25.5,26.9,56.6,49.3,35.2,33.7,41.1,42.8,69.1,6.6
12,"Gonzaga  5 seed, Sweet Sixteen",WCC,35,27-8,123.6,99.1,0.9269,57.0,47.3,14.0,16.1,33.2,27.7,30.7,25.2,58.3,45.1,36.2,34.1,31.3,36.6,68.8,2.4
13,"Illinois  3 seed, Elite Eight",B10,38,29-9,125.7,101.1,0.9247,53.6,48.0,15.0,12.3,35.6,26.3,37.1,26.7,54.4,46.8,34.9,34.1,38.6,28.3,69.7,5.6
14,"Alabama  4 seed, Final Four",SEC,37,25-12,126.1,102.5,0.9154,56.3,49.7,15.9,15.2,34.9,30.9,35.3,38.8,56.7,50.9,37.3,31.7,46.5,37.2,72.3,3.3
